"tract","population","median_household_income","non_hispanic_white_alone","osm_2020","osm_2023","sdp"
"5063.04",6089,104470,1442,11,23,70
"5063.05",6050,98277,1859,27,38,46
"5064.01",4992,111903,1961,130,155,220
"5064.02",5805,107181,2424,17,24,74
"5065.02",4555,119959,2432,108,155,439
"5065.03",6149,80250,2850,34,135,169
"5065.04",2734,88178,315,1,13,22
"5065.05",4648,131346,1092,2,17,42
"5066.01",3921,111667,1419,36,55,145
"5066.03",4087,246016,2106,6,9,12
"5066.04",7498,212143,3239,35,39,69
"5066.05",4347,108051,1706,8,15,35
"5066.06",5157,105878,1680,16,17,42
"5067.01",4362,187228,1857,10,10,14
"5067.02",5845,133425,2542,4,6,30
"5067.03",3682,125833,1837,19,40,71
"5068.01",5977,164195,4214,163,168,195
"5068.02",5959,176944,2783,16,23,45
"5068.03",7033,185900,3421,37,59,26
"5068.04",4629,172222,2996,6,6,9
"5069",8013,188585,5448,49,66,52
"5070.02",3559,,2787,8,8,6
"5070.03",2969,221442,2213,17,18,22
"5070.04",3639,168015,2836,283,287,305
"5071",3347,153125,2440,112,119,131
"5072.03",3391,179006,1758,21,44,68
"5072.05",4797,186250,2998,12,26,23
"5072.06",2628,,1882,2,3,4
"5073.01",6718,226583,3031,46,55,65
"5073.02",2556,234286,1426,84,89,97
"5074.01",5886,223125,1724,20,35,49
"5074.02",4150,200500,2062,23,28,74
"5075",5979,199917,1768,13,23,41
"5076",6079,,2332,14,15,17
"5077.01",3535,180938,785,118,152,217
"5077.02",6873,240389,1033,10,13,7
"5077.04",3533,188750,1261,3,4,10
"5077.05",4229,217473,1419,9,10,15
"5078.05",5169,169908,1409,65,78,73
"5078.06",6038,178278,679,53,76,102
"5078.07",3462,220625,559,17,20,46
"5078.08",5812,215900,1061,36,40,49
"5079.03",5424,221618,898,28,53,14
"5079.04",3018,235694,680,21,21,2
"5079.05",5209,134242,911,114,120,75
"5079.06",4410,,737,14,14,3
"5080.03",2492,172500,644,16,20,21
"5080.04",5622,175163,1256,16,22,28
"5080.05",3649,152311,873,47,60,144
"5080.06",4008,168177,962,52,52,63
"5081.01",6522,,1703,117,124,156
"5081.02",3371,205030,933,189,201,110
"5082.03",5950,212121,2244,17,28,25
"5082.04",4946,213839,1501,10,10,18
"5082.05",3879,170161,670,76,78,88
"5082.06",4039,210531,1296,13,21,21
"5083.01",4734,227813,2089,21,48,48
"5083.03",2562,189265,1020,52,66,75
"5083.05",5724,105137,717,3,4,20
"5083.06",3301,170500,1191,7,8,15
"5084.01",8022,180357,2856,94,98,102
"5084.03",3275,220833,1750,18,26,58
"5084.04",6444,171875,2678,89,95,97
"5085.03",6517,166274,1444,120,125,145
"5085.05",5022,195521,1810,20,24,29
"5085.07",3251,187989,520,31,31,35
"5085.08",6143,150350,1858,16,22,34
"5085.09",4182,137134,914,36,46,55
"5085.10",3793,124000,693,83,82,88
"5086.01",3866,181760,1147,69,80,74
"5086.02",5300,156875,2316,145,153,215
"5087.05",4110,164900,1030,54,56,13
"5087.06",4259,168352,949,13,13,12
"5087.07",3853,175382,1000,20,59,24
"5087.08",4236,217206,847,271,292,434
"5088",3889,129432,933,26,27,47
"5089",5132,122941,898,44,46,39
"5090.01",2957,91932,422,36,40,60
"5090.02",4278,102423,685,16,22,26
"5091.02",4796,182099,1592,190,193,167
"5091.06",4264,148990,1442,49,53,64
"5091.07",4783,145634,1089,23,24,31
"5091.08",4674,146944,1451,125,130,91
"5091.09",6374,195272,2402,144,146,89
"5091.10",3286,212431,1521,50,52,39
"5091.11",3727,151944,1694,26,26,24
"5092.01",5903,149844,2846,139,139,67
"5092.02",4313,176118,1945,77,78,61
"5093.02",3619,171806,1676,31,31,22
"5093.03",3639,153851,1384,82,82,21
"5093.04",3101,151389,1081,213,244,239
"5094.01",4117,145455,1335,36,39,43
"5094.03",5553,117037,1528,85,89,47
"5094.04",6436,133750,2003,120,127,113
"5095",5292,137688,1967,49,83,50
"5096",3547,202969,1350,233,243,209
"5097",3237,197917,1836,77,78,42
"5098.01",5783,163785,2712,79,92,86
"5098.02",3155,197625,1569,38,39,38
"5099.01",2404,,1644,50,81,85
"5099.02",5196,200859,2299,305,304,76
"5100.01",6263,,3741,43,70,76
"5100.02",4102,245455,1780,12,15,29
"5101",3040,228375,1615,3,3,6
"5102",4721,,3030,32,35,39
"5103",4500,208898,2496,230,250,305
"5104",3937,,1951,58,63,72
"5105",4452,,2574,45,53,44
"5106",6109,152059,2896,58,83,56
"5107",5291,205651,2089,60,80,84
"5108.01",5802,200469,2248,37,42,80
"5108.02",2041,,995,48,53,40
"5108.03",3331,184919,1504,34,41,35
"5109",5267,169390,2730,24,26,21
"5110",7140,229232,2683,54,61,49
"5111",5593,246953,2599,24,24,27
"5112",5029,,3233,26,28,34
"5113.01",3995,143913,2295,76,89,73
"5113.02",3645,80964,2059,332,334,289
"5114",3617,,2006,11,11,28
"5115.01",4742,142067,2951,236,253,178
"5115.02",3171,,2219,22,27,44
"5116.08",3333,,1287,233,277,216
"5116.09",3380,144292,1910,240,244,262
"5117.01",4432,212069,2525,12,19,26
"5117.02",2726,,1569,8,12,14
"5117.04",4627,,2329,80,80,48
"5117.05",1723,,1193,91,122,191
"5117.07",3036,179583,1697,116,127,18
"5118",4369,182109,3650,43,47,20
"5119.05",3306,221826,1288,25,32,40
"5119.07",4329,226493,1373,23,26,18
"5119.10",3089,198125,1738,6,8,12
"5119.11",4911,159091,2913,35,39,37
"5119.12",5776,247750,1895,4,4,5
"5119.13",4365,229489,2802,16,30,28
"5119.14",6353,232917,3355,29,63,48
"5119.15",4049,87188,1071,32,34,69
"5119.16",4530,166429,2043,6,6,13
"5119.17",4263,218844,1634,4,4,3
"5119.18",3135,212280,1511,31,37,10
"5120.01",6515,180650,1367,23,42,116
"5120.05",6880,160909,3209,14,19,27
"5120.19",4718,133036,1573,7,15,12
"5120.21",6349,135179,1794,4,4,11
"5120.22",6162,83895,1124,7,7,19
"5120.23",5614,84763,1203,35,35,21
"5120.24",5125,126216,2215,48,57,88
"5120.25",3008,181771,1230,2,3,14
"5120.26",3734,117639,933,21,52,73
"5120.27",4354,92295,1545,41,70,318
"5120.29",8002,139750,3841,25,40,48
"5120.30",3219,167569,1414,2,3,17
"5120.31",4436,168910,1938,9,20,16
"5120.32",3245,141184,1114,38,66,141
"5120.34",2832,133125,1205,17,42,54
"5120.35",4944,157292,1400,5,5,7
"5120.36",4902,134621,1634,7,7,11
"5120.37",3145,155341,1209,2,8,7
"5120.38",3199,107375,958,8,8,3
"5120.39",6160,123955,745,24,26,7
"5120.42",3100,81875,209,4,8,12
"5120.43",5704,58489,539,20,41,14
"5120.45",5291,165240,2392,38,51,62
"5120.47",6041,168846,2758,19,25,33
"5120.52",4060,109208,1689,62,79,140
"5120.53",5166,103654,1695,3,5,20
"5120.54",4228,105650,673,1,1,1
"5120.55",3727,129643,877,9,11,19
"5120.56",3814,106183,869,7,8,15
"5120.57",4153,128871,1272,5,11,15
"5120.58",5008,113254,1042,35,37,61
"5120.59",6788,124684,2625,34,45,73
"5121",1660,91103,479,47,45,46
"5122",4622,198179,2497,131,136,34
